Id,Title,PostedDate,PrimaryLocation,WorkplaceType,HotJobFlag,TrendingFlag,BeFirstToApplyFlag,Relevancy,PrimaryLocationCountry,Language,WorkLocationName,WorkLocationAddress,WorkLocationCity,WorkLocationPostalCode
26005997,Analyst – ICS Reporting & Analytics,2026-08-06,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011534,Senior Associate -CyberOps & Assurance,2026-08-06,"Gurugram, HR, India",Hybrid,False,False,True,9,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011956,Analyst-Data Analytics,2026-08-06,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26006601,Senior Manager Digital Product Management,2026-08-05,"Chennai, TN, India",Hybrid,False,True,False,9,IN,US,DLF Downtown 3,"DLF Downtown, Taramani, 300/2-B, 2-C, 301/3",Chennai,600113
26011646,Senior Analyst-Data Science,2026-08-05,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011941,Analyst-Control Management,2026-08-05,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011997,Data Engineer II,2026-08-05,"Bengaluru, KA, India",Hybrid,False,True,False,9,IN,US,"Rome North, Bagmane Capital","Part of Ground Floor, 7th to 11th floors, Rome North,",Bengaluru Urban,560037
26012016,AI Engineer III,2026-08-05,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26012023,Financial Analyst,2026-08-05,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26012024,Director Software Engineering,2026-08-05,"Bengaluru, KA, India",Hybrid,False,True,False,9,IN,US,"Rome North, Bagmane Capital","Part of Ground Floor, 7th to 11th floors, Rome North,",Bengaluru Urban,560037
26012140,AI Engineer III,2026-08-05,"Bengaluru, KA, India",Hybrid,False,True,False,9,IN,US,"Rome North, Bagmane Capital","Part of Ground Floor, 7th to 11th floors, Rome North,",Bengaluru Urban,560037
26010611,Apprentice,2026-08-04,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26010928,"Senior Analyst-Data Analytics (SQL, Python, GenAI)",2026-08-04,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011138,Customer Service Analyst,2026-08-04,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011793,Senior Lead Analyst,2026-08-04,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011938,Staff AI Engineer - Servicing Enablement Platform,2026-08-04,"Bengaluru, KA, India",Hybrid,False,True,False,9,IN,US,"Rome North, Bagmane Capital","Part of Ground Floor, 7th to 11th floors, Rome North,",Bengaluru Urban,560037
26012098,Apprentice,2026-08-04,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26010511,Senior Data Engineer I,2026-08-03,"Chennai, TN, India",Hybrid,False,True,False,9,IN,US,DLF Downtown 3,"DLF Downtown, Taramani, 300/2-B, 2-C, 301/3",Chennai,600113
26011498,Analyst-Risk Management (KYC Operations-Quality Assurance),2026-08-03,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011789,Analyst-Data Science,2026-08-03,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011912,Apprentice,2026-08-03,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011952,Financial Analyst,2026-08-03,"Bengaluru, KA, India",Hybrid,False,True,False,9,IN,US,"Rome North, Bagmane Capital","Part of Ground Floor, 7th to 11th floors, Rome North,",Bengaluru Urban,560037
26011964,Manager-Controller,2026-08-03,"Bengaluru, KA, India",Hybrid,False,True,False,9,IN,US,"Rome North, Bagmane Capital","Part of Ground Floor, 7th to 11th floors, Rome North,",Bengaluru Urban,560037
26012018,Analyst-Data Science,2026-08-03,"Gurugram, HR, India",Hybrid,False,True,False,9,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011178,Senior Analyst-Operations Risk Management,2026-08-01,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26010836,"Senior Software Engineer - Gen AI, Python",2026-07-31,"Gurugram, HR, India",,False,True,False,7,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011013,Analyst-Risk Management,2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011377,Credit Specialist,2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011578,Apprentice,2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011603,Manager - Audit (Fin Crime),2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011711,Sr Mgr-Digital Product Mgmt,2026-07-31,"Bengaluru, KA, India",Hybrid,False,True,False,7,IN,US,"Rome North, Bagmane Capital","Part of Ground Floor, 7th to 11th floors, Rome North,",Bengaluru Urban,560037
26011712,Sr Assoc-Digital Product Mgmt,2026-07-31,"Bengaluru, KA, India",Hybrid,False,True,False,7,IN,US,"Rome North, Bagmane Capital","Part of Ground Floor, 7th to 11th floors, Rome North,",Bengaluru Urban,560037
26011714,AI Engineer II,2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011716,Software Engineer III,2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011730,Manager - Audit,2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011881,Apprentice,2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011936,Analyst-Data Science,2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011969,Apprentice,2026-07-31,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26010871,TCPS Analyst I,2026-07-30,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,DLF Bldg No 8 Phs 2 Gurgaon,DLF Building No 8,Gurgaon,122016
26011177,Analyst- Operations Risk Management,2026-07-30,"Gurugram, HR, India",,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011230,Associate-Technology Risk & Control,2026-07-30,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011395,Analyst-Compliance,2026-07-30,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011397,Analyst-Compliance,2026-07-30,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011467,Analyst-Compliance,2026-07-30,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,DLF Bldg No 8 Phs 2 Gurgaon,DLF Building No 8,Gurgaon,122016
26011468,Analyst-Compliance,2026-07-30,"Gurugram, HR, India",On-site,False,True,False,7,IN,US,DLF Bldg No 8 Phs 2 Gurgaon,DLF Building No 8,Gurgaon,122016
26011733,"Analyst, KYC Analytics",2026-07-30,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,Cyber City-Bldg 5,"Bldg No 5, Tower B & C, 11th Floor",Gurgaon,122002
26011880,Apprentice,2026-07-30,"Gurugram, HR, India",Hybrid,False,True,False,7,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011923,Director-Digital Product Management [Oracle HCM],2026-07-30,"Bengaluru, KA, India",Hybrid,False,True,False,7,IN,US,"Rome North, Bagmane Capital","Part of Ground Floor, 7th to 11th floors, Rome North,",Bengaluru Urban,560037
26008005,"Senior Software Engineer II - JavaScript, React, Node.JS & graphQL",2026-07-29,"Chennai, TN, India",Hybrid,False,True,False,4,IN,US,DLF Downtown 3,"DLF Downtown, Taramani, 300/2-B, 2-C, 301/3",Chennai,600113
26007097,Director-Government Affairs,2026-07-28,"Gurugram, HR, India",Hybrid,False,True,False,4,IN,US,DLF Bldg No 8 Phs 2 Gurgaon,DLF Building No 8,Gurgaon,122016
26010603,"Senior.Analyst-Data Science (SQL, Python, Gen AI)",2026-07-28,"Gurugram, HR, India",Hybrid,False,True,False,4,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26011688,Customer Care Professional,2026-07-27,"Gurugram, HR, India",Hybrid,False,True,False,4,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26010993,"Pipeline - Future Software Engineer Opportunity, Enterprise Technology Services (ETS)",2026-07-14,"Gurugram, HR, India",Hybrid,False,True,False,2,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26010897,Corporate Specialist,2026-07-13,"Gurugram, HR, India",Hybrid,False,True,False,2,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
26010994,Sr Analyst-Risk Management,2026-07-10,"Gurugram, HR, India",Hybrid,False,True,False,2,IN,US,"Amex India Campus, 74 A",Sub Tehsil Kadipur,Gurugram,122004
